No;Kode Part;Desc Part;Gudang Part;Lokasi Part;ONHAND;BOOKING;AVS
1121;53205KTL700FMH;COVER HDL FR(SLV)DK;GUDANG UTAMA BAHAGIA MOTOR;C2.06.1.1;1;0;1
1122;53205KVB930FMB;COVER HDL FR(BLK);GUDANG UTAMA BAHAGIA MOTOR;C2.06.1.1;3;0;3
1123;53205KVBT00AFB;COVER HDL FR(AF BK MT);GUDANG UTAMA BAHAGIA MOTOR;C2.06.1.1;1;0;1
1124;53205KVBT00CSR;COVER HDL FR(CN SC RD);GUDANG UTAMA BAHAGIA MOTOR;C2.06.1.1;1;0;1
1125;53205KVLN00FMB;COVER HDL FR(BK)-R;GUDANG UTAMA BAHAGIA MOTOR;C2.08.1.1;2;0;2
1126;53205KVY910ABM;COVER HDL FR(AS BL MT);GUDANG UTAMA BAHAGIA MOTOR;C2.06.1.1;2;0;2
1127;53205KVY910FMB;COVER HDL FR(BLK);GUDANG UTAMA BAHAGIA MOTOR;C2.06.1.1;4;0;4
1128;53205KVY910YJ;COVER HDL FR(BR LM GR);GUDANG UTAMA BAHAGIA MOTOR;C2.06.1.1;2;0;2
1129;53205KYZ900ZK;COVER HDL FR(BLK);GUDANG UTAMA BAHAGIA MOTOR;B3.02.1.1;1;0;1
1130;53205KZLA00ZA;COVER FR HDL(BR LM GR);GUDANG UTAMA BAHAGIA MOTOR;C2.06.1.1;3;0;3
1131;53205KZLA00ZC;COVER FR HDL(VD BL MT);GUDANG UTAMA BAHAGIA MOTOR;C2.06.1.1;1;0;1
1132;53205KZLA00ZD;COVER FR HDL(CN SC RD);GUDANG UTAMA BAHAGIA MOTOR;C2.06.1.1;2;0;2
1133;53205KZR600FMB;COVER HDL FR(BLK);GUDANG UTAMA BAHAGIA MOTOR;C2.01.1.1;7;0;7
1134;53206K16A40ZC;COVER B SPDMT(VO SL MT);GUDANG UTAMA BAHAGIA MOTOR;B4.04.4.3;1;0;1
1135;53206K1AN10ZA;COVER,HANDLE RR (BLACK);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;0;0;0
1136;53206K25900ZA;COVER HDL RR;GUDANG UTAMA BAHAGIA MOTOR;B3.04.2.1;3;0;3
1137;53206K41N00ZA;COVER HDL RR(DG SL MT);GUDANG UTAMA BAHAGIA MOTOR;B3.02.2.1;1;0;1
1138;53206K59A10ZA;COVER HDL. RR.;GUDANG UTAMA BAHAGIA MOTOR;B3.04.2.1;3;0;3
1139;53206K60B00ZA;53206K60B00ZB;GUDANG UTAMA BAHAGIA MOTOR;B3.04.1.1;1;0;1
1140;53206K60B00ZB;COVER HANDLE RR;GUDANG UTAMA BAHAGIA MOTOR;B3.03.3.1;1;0;1
1141;53206K81N00ZA;COVER HANDLE RR;GUDANG UTAMA BAHAGIA MOTOR;B3.04.3.1;0;0;0
1142;53206K81N10ZA;COVER HANDLE RR R;GUDANG UTAMA BAHAGIA MOTOR;B3.04.3.1;1;0;1
1143;53206K93N00ZG;COVER B, SPDMT (MA JB MT);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;0;0;0
1144;53206KTM850;COVER HDL RR;GUDANG UTAMA BAHAGIA MOTOR;B3.02.1.1;4;0;4
1145;53206KVBN50AFB;COVER HDL RR (AF BK MT);GUDANG UTAMA BAHAGIA MOTOR;B3.04.3.1;0;0;0
1146;53206KVBN50DSM;COVER HDL RR(DG SL MT);GUDANG UTAMA BAHAGIA MOTOR;B3.02.3.1;3;0;3
1147;53206KVBN50POV;COVER HDL RR (PR OD VL);GUDANG UTAMA BAHAGIA MOTOR;B3.02.3.1;1;0;1
1148;53206KVBN50SBM;COVER HDL RR(SP BL MT);GUDANG UTAMA BAHAGIA MOTOR;B3.02.3.1;1;0;1
1149;53206KVBN50WRD;COVER HDL RR(WN RD);GUDANG UTAMA BAHAGIA MOTOR;B3.02.3.1;1;0;1
1150;53206KVR600;COVER RR HDL;GUDANG UTAMA BAHAGIA MOTOR;B3.02.1.1;1;0;1
1151;53206KVY960;COVER HDL RR;GUDANG UTAMA BAHAGIA MOTOR;B3.04.1.1;1;0;1
1152;53206KWC900;COVER HDL LWR;GUDANG UTAMA BAHAGIA MOTOR;B3.04.1.1;3;0;3
